**** All Elevator Calls (time,src,dest,state,elev dt) stage 7 ****
Elevator call,15.749018245415527,0,-6,3,0, Done, dt, 334.2509817545845
Elevator call,29.795724992354963,-4,80,3,9, Done, dt, 940.204275007645
Elevator call,30.19242759005715,-7,88,3,1, Done, dt, 1587.8075724099428
Elevator call,30.71595021642338,-5,74,3,9, Done, dt, 873.2840497835766
Elevator call,36.316621751195726,31,97,3,1, Done, dt, 1680.6833782488043
Elevator call,46.331069014906234,-6,70,3,1, Done, dt, 1373.6689309850938
Elevator call,52.229924572991195,-4,34,3,1, Done, dt, 971.7700754270088
Elevator call,61.04837839712013,-9,52,3,1, Done, dt, 1160.9516216028799
Elevator call,62.31340802643376,-9,92,3,1, Done, dt, 1599.6865919735662
Elevator call,62.42923444391522,-4,47,3,1, Done, dt, 1104.5707655560848
Elevator call,62.88805493560881,4,74,3,9, Done, dt, 841.1119450643912
Elevator call,66.30025923587709,0,-1,3,0, Done, dt, 228.6997407641229
Elevator call,67.07281282103918,-4,85,3,1, Done, dt, 1517.9271871789608
Elevator call,67.39684559916532,-4,80,3,1, Done, dt, 1462.6031544008347
Elevator call,72.32053834730914,-1,44,3,9, Done, dt, 501.67946165269086
Elevator call,75.45009626287265,-9,-3,3,1, Done, dt, 541.5499037371274
Elevator call,79.5386026857368,0,-1,3,0, Done, dt, 215.4613973142632
Elevator call,82.00106471150661,-5,94,3,1, Done, dt, 1601.9989352884934
Elevator call,85.05084296434165,-4,71,3,1, Done, dt, 1345.9491570356583
Elevator call,85.05145915275011,-8,66,3,1, Done, dt, 1290.94854084725
Elevator call,86.4092159125421,-5,-1,3,1, Done, dt, 552.5907840874579
Elevator call,90.2739221800241,27,95,3,3, Done, dt, 824.7260778199759
Elevator call,97.56134129114707,-1,93,3,1, Done, dt, 1575.438658708853
Elevator call,99.09729234442648,-2,47,3,1, Done, dt, 1067.9027076555735
Elevator call,100.09528650820425,-5,85,3,1, Done, dt, 1484.9047134917957
Elevator call,104.82846934416693,-1,55,3,1, Done, dt, 1150.171530655833
Elevator call,105.17810733609576,-7,96,3,1, Done, dt, 1600.8218926639042
